_id,Clave,Producto,_idCategoria,_idMarca,Precio1,Precio2,No_parte,Descripcion,Modelo,Anios,RefaccionNueva,RefaccionOferta,color,Estatus,Alto,Largo,Ancho,Peso
58,10655,Filtro Gasolina Altima,1,1,34.99,0,AGNN0110,,6,24,0,0,#aa0009,1,0,0,0,0
59,12862,Araña Caja Velocidades  Aveo,2,3,1250,0,25184113,Araña de Velocidades de Aveo Original GM,15,38,0,0,#aa0009,1,0,0,0,0
60,10617,Filtro Gasolina Aprio,1,1,38.99,0,AGNN0300,,7,26,0,0,#aa0009,1,0,0,0,0
61,8979,Filtro Gasolina Astra,4,3,33,0,AGNN0100,,8,28,0,0,#aa0009,1,0,0,0,0
62,4125,Filtro Gasolina Atlantic Cartucho,1,2,42,0,FF-VW205,,9,14,0,0,#aa0009,1,0,0,0,0
63,13161,Filtro Aire Audi A1,1,4,62.3,0,04E-129-620,Filtro Aire Audi A1 Marca Nikko,10,9,0,0,#aa0009,1,0,0,0,0
64,4141,Filtro Gasolina Audi A3,1,4,95,0,0 986 Mf2 318,Filtro de gasolina para Audi A3 Marca Bosch,11,10,0,0,#aa0009,1,0,0,0,0
65,4141,Filtro Gasolina Audi A3,1,4,95,0,0 986 MF2 318,Filtro Gasolina Audi A3 Marca Boch,11,10,0,0,#aa0009,0,0,0,0,0
66,3810,Faro Atos Izquierdo,4,6,571.99,0,92110-05520e,Faro Atos Izquierdo 05-09 Marca Forcetec,70,37,0,0,#aa0009,1,0,0,0,0
67,1965,Calavera Atos Derecha,4,6,382.99,0,B0170015b3,Calavera de Atos Modelos 05-08 Derecha marca TYC,70,37,0,0,#aa0009,1,0,0,0,0
68,3820,Disco Rueda Atos Ventilado,7,6,217.99,0,51712-02501,Disco Rueda Atos Ventilado Marca FP,70,37,0,0,#aa0009,1,0,0,0,0
69,12443,Balatas Delanteras Aveo,7,3,152.98,0,7779-D105EG,Batalas Delanteras Aveo 07-15 Marca FP,15,38,0,0,#aa0009,1,0,0,0,0
70,6633,Balatas Aveo Traseras,7,3,169,0,BBNC9950,Balatas Traseras de Aveo Marca Diforza,15,38,0,0,#aa0009,1,0,0,0,0
